brand, product_name, price, shipping, rating, rating_size
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6GT OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,379.99,4.99 ,4,29,
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,239.99,4.99 ,5,66,
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6G OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,359.99,4.99 ,3,13,
GIGABYTE,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,154.99,4.99 ,5,16,
MSI,MSI Radeon RX 580 DirectX 12 Radeon RX 580 8G V1 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,399.99,4.99 ,3,23,
ASUS,ASUS ROG GeForce GTX 1060 STRIX-GTX1060-O6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,419.99,4.99 ,4,59,
EVGA,EVGA GeForce GTX 1060 GAMING ACX 2.0 (Single Fan) 03G-P4-6160-KR 3GB GDDR5 DX12 OSD Support (PXOC) Only 6.8 Inches,452.58,0.00 ,4,71,
ASUS,ASUS Dual series GeForce GTX 1060 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,339.99,4.99 ,4,66,
ASUS,ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),469.99,4.99 ,4,16,
PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,409.99,4.99 ,5,9,
EVGA,EVGA GeForce GT 1030 DirectX 12 02G-P4-6338-KR 2GB 64-Bit GDDR5 PCI Express 3.0 Video Card,114.99,3.99 ,4,3,
EVGA,EVGA GeForce GTX 1050 SC GAMING 02G-P4-6152-KR 2GB GDDR5 DX12 OSD Support (PXOC),179.99,4.99 ,5,22,
GIGABYTE,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD 8GB 2048-Bit HBM2 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,899.99,0.00 ,None,None,
EVGA,EVGA GeForce GTX 1050 FTW GAMING ACX 3.0 02G-P4-6157-KR 2GB GDDR5 DX12 OSD Support (PXOC),199.99,4.99 ,4,5,
GIGABYTE,GIGABYTE Radeon RX 560 DirectX 12 GV-RX560GAMING OC-4GD REV2.0 4GB 128-Bit GDDR5 ATX Video Card,169.99,3.99 ,4,23,
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,234.99,4.99 ,5,52,
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,259.99,3.99 ,0,1,
PNY Technologies ,PNY XLR8 GeForce GTX 1080 Ti DirectX 12 VCGGTX1080T11PB-OC2 11GB 352-Bit GDDR5X PCI Express 3.0 x16 SLI Support Video Card,1039.99,4.99 ,2,2,
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),399.99,4.99 ,4,17,
MSI,MSI GeForce GTX 1050 DirectX 12 GTX 1050 AERO ITX 2G OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,149.99,3.99 ,5,2,
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX Support ATX Video Card w/ Backplate (UEFI) SAMSUNG MEMORY,409.99,4.99 ,5,4,
